id	document	label
0	항상 맛있고 양도 많고 저렴해요 감사합니다	1
1	맛있었습니다! 매운맛간장친킨 진짜 맛있어요ㅠ	0
2	알림 뜬 시간 내에 딱 배달왔어요! 귀국 후 의무 자가격리 중이라 부모님께서 제 방 문 앞에 조금 덜어주셔서 사진으로는 1인분 양인데 가족들도 거실에서 계속 맛있다며 잘 시켰다고 칭찬했어요 ㅋㅋㅋㅋㅋㅋ 다음에 족발 시킬때도 여기 이용할 것 같아요 :) 참 이집 막국수는 조금 달달한 맛입니다! 족발 껍질이 진짜 탱탱해요. 무 무침도 엄청 크고 아삭합니다.	1
3	김치볶음밥은 처음 먹어봤는데 자극적인 맛 끌리는 날 딱이에요!	0
4	믿고먹는 반올림 피자!! 포테이토는 먹기시작하고사ㅣㄴ찍어서 사진은 쫌 그런데ㅠ맛있어융ㅠㅠ감자도크고 재료도듬뿍	1
5	리뷰보고 처음 시켰는데 역쉬~나 대만족입니다 배달도 빠르고 맛도 있고 가격대비 양도 많아요^^	1
6	움..  다 좋았는데 뼈만 빨았음	0
7	항상 주문합니다....	0
8	잘받았습니다.	0
9	스쿨푸드를 배달로 먹을 수 있어서 너무 좋음  맛도 포장도 배달도 좋았음 !!!!!	0
10	맛있어요! 탕수육 깔끔~~~~ 간짜장도 짬뽕도 만족이열	0
11	닭도리탕은무조건 여기 아주좋아요	0
12	깔끔하고 배달도 빠르고 맛도 좋아요!!	1
13	맛있고 배달도빠르고~~항상조아여~~	0
14	500원 추가한 양념소스는 안오고.. 전화해서 가져다 달라 할까 그냥 번거러우실까봐 제가 안먹고 말았는데. 좀 꼼꼼하게 챙기셔야 할거 같습니다..  그리고 다리개 3개가 들어있던데.. 여러마리 튀기고 나누시는과정에서 실수하신건가요..ㅎㅎ	0
15	맛있습니다, 양념치킨 맛이 다른 치킨집하고 좀 다르네요	0
16	저번보단 쫌덜바삭했는데 그래도 맛있게 먹었어요	0
17	배달 빠르고 맛있었어요~~	1
18	항상 다 좋은데 오늘은 마리 드레싱 추가했는데 하나밖에 안왔네요....돈주고 추가하는건데 확인 잘 좀 부탁드려요	0
19	맛있게 잘 먹었습니다 정말 감사합니다	1
20	자주시켜먹어요 맛잇습니당	0
21	양이 생각보다 많았습니다.  맛은 보통입니다.  잘먹었습니다.	0
22	양념 굿 후라이드도 맛있어요	0
23	리뷰이벤트덕에 콜라도 큰거 오고 일단 배달이 진짜 빨랐고요! 항상 시켜먹던대로 가성비 양 좋고 고기는 신선도?가 좀 복불복이였거든요 자주시켜먹었었는데 어떤땐 갓 나온 보들보들하고 촉촉함 머금은 느낌, 어떨땐 좀 수분기빠져나간느낌, 뭐 그런게 그때그때 다른데 맛은 항상 좋았어서 만족합니다	1
24	매우매우 맛있었습니다!!	0
25	왜 별점 마이너스 없죠? 절대 시키지마세요 맛도없고 배달 1시간이상걸림 절대절대 비추	0
26	항상 깔끔하고 맛좋고 배달빠르죠~ 양념만두 매콤한치킨양념 바른것같은데 맛있어요~ 당면만두 좋아하시면 추천이요!!	0
27	맛잇네요 양도 많고 담에도 양 많이주세요 ㅎㅎㅎㅎ	0
28	파파이스는 사랑입니다	1
29	진짜짱 푸짐하니진짜맛있게잘먹었어용	1
30	돈가스소스가 안왔어요.	0
31	배달도 빠르고 맛있었어요. 단골 될 것 같아요.ㅎㅎ	1
32	너무 맛있게 먹었습니다ㅠㅠ 떡볶이도 옛날 엄마가해주신 맛이 나고 치즈핫도그도 치즈가 쫀득하니 맛이 좋네요ㅎㅎ돈까스도 소스도맛있구 고기식감이랑 양도 정말 많아요ㅎ 혼자서 다 먹으려고 시켰는데 배터질거같아서 남겼네요ㅎㅎ다음엔 여자친구랑 먹을 생각중이에요	1
33	맛있습니다!	1
34	배달음식은 보통큰기대를 안하는대 맛있고 양이네겐 넘많네요	0
35	배달도 빠르고 맛있게 잘 먹었습니다.	1
36	시키는 메뉴마다 다 만족!!	0
37	일단 같이오는 무말랭이는 양이너무 적구요 그리고 배달때 그러신거겠지만 무말랭이 국물이 다넘쳐서 새우랑 장에 다넘쳐서 열때 손에다 .... 그리고 족발에서 비린네가 너무 심하게 나네요 댓글 보고 시켜서 먹는중인데 역해서 글남기네요	1
38	신메뉴 먹을만했어요	0
39	배달두빠르게갔다주시구 김치찌개두 너무마싯구...	0
40	맛있게 잘먹었어요!	0
41	늘맛있게먹고있어요 사진깜빡	0
42	맛있게 잘먹었습니다	1
43	배달도 빠르고 맛있네요.	1
44	스쿨푸드는 사랑🙊	0
45	처음시켜봤는데 돼지냄새도안나고 맛있어요 막국수도 맛있어요 추천합니다~	1
46	착한가격 , 착한배송비 깨끗한 튀김옷 평범한 후라이드맛	0
47	맛있게 잘 먹었습니다	0
48	아들이 먹고 십다해서 시켜주었는데 배송도 빠르고 양도넉넉해서 다음에 또 시켜달라하네요 지난번 다른데는 넘적다하는데 먹다 남길 정도면 ,,아들이 시켜달라 할때마다 시킬듯합니다, 감사합니다	1
49	빵 종류도 많고 빠른 배송 감사합니다~	0
50	로제는 느끼함이 많이 나서 별로였어요. 리조또는 적당히 매콤하면서도 비린내없이 쌀알에 맛이 베어서 맛있었어요. 로제는 별3개, 리조또는 별5개였어요. 배달해주시는분이 대행이 아니라 사장님께서 직접하시는것 같았어요. 다 먹은후 찍은사진이라 죄송해요;;	0
51	너무 맛있습니다 잘먹었습니당 ㅎㅎ	1
52	맛있어요,잘 먹었어요~.	0
53	항상 맛 보장 하는곳~^^	0
